sl No,item_code,item_description
31,1.7,"Earth work  excavation for foundation in soft disintegrated rock, laterite Kankar or soft disintergrated rock not requiring blasting inclusive of shoring, strutting and baling out water wherever necessary (Excluding refilling the sides of foundation) and depositing the earth in places shown clearing and levelling the site with an intial lead of 10 metres and lift as specified here under etc., complete in all respects complying with relavant standard specifications. (Excluding Refilling)."
32,1.7.a,a) 0 to 2m depth.
33,1.7.b,b) 2 to 3m depth.
34,1.7.1,"Earth work excavation for foundation in Medium Rock & Dense Medium Rock not requiring blasting inclusive of shoring, strutting and bailing out water wherever necessary and refilling the sides of foundation with excavated earth in 150 mm thick layers well watered rammed and consolidated and depositing the surplus earth in places shown clearing and levelling the site with an initial lead of 10 metres and lift of 2m in medium rock and dense medium rock not requiring blasting as specified hereunder etc., complete in all respects complying with relevant standard specifications. (Including Refilling)"
35,1.7.1.e,e.For circular surface (sump) 
36,1.8,"Earth work  excavation for Open foundation in soft disintergrated rock, laterite Kankar or soft rock not requiring blasting inclusive of shoring, strutting and baling out water wherever necessary (Excluding refilling the sides of foundation) and depositing the earth in places shown clearing and levelling the site with an intial lead of 10 metres and lift as specified here under etc., complete in all respects complying with relavant standard specifications. (Excluding Refilling)."
37,1.8.a,a) 0 to 2m depth.
38,1.8.b,b) 2 to 3m depth.
39,1.8.1,"Earth work  excavation for Open foundation in soft disintegrated rock, laterite Kankar or soft disintergrated rock not requiring blasting inclusive of shoring, strutting and baling out water wherever necessary (Excluding refilling the sides of foundation) and depositing the earth in places shown clearing and levelling the site with an intial lead of 10 metres and lift as specified here under etc. complete in all respects complying with relavant standard specifications (Excluding Refilling) (Drain width upto 0 to 1.25 metre)."
40,1.8.2,"Earth work  excavation for Open foundation in soft disintegrated rock, laterite Kankar or soft disintergrated rock not requiring blasting inclusive of shoring, strutting and baling out water wherever necessary (Excluding refilling the sides of foundation) and depositing the earth in places shown clearing and levelling the site with an intial lead of 10 metres and lift as specified here under etc. complete in all respects complying with relavant standard specifications (Excluding Refilling) (Drain width upto 1.25 to 2 metre)."
41,1.9,"Providing DRIVEN PILES for driving  and installing  the following diameter  casing pipe standard cast in  situ driven reinforced cement concrete vertical piles driven upto hard strata supplying and fixing the M.S. Pile shoe in position driving the piles to its full depth along with the pile in position  to full depth of piles, concreting the entire depth of  pile with  RCC 1:1½:3 (One of cement, one and half of sand and three of hard broken stone jelly) using 20mm size and vibrating by required  weight of hammer, removing  the casing pipe after concrete is laid carefully dismantling  the  pile top concrete to pile cap position after sufficiently laid, curing of pile concrete  etc., complete excluding the  cost and fabrication of reinforcement grills but including cost of pile shoe, welding charges  mobilization of machineries, tools and equipments for providing driven cast- in – situ RCC piles at site of  work and assembling and installation of pile rig  and machineries including dismantling  and removing the same from the site after completion of work, hire charges  for machineries for the load test of piles (for working  piles) as per I.S. Specifications and   as directed by the departmental officers and conforming to relevant standard specifications. (Mode of measurement and payment for pile is from the tip of pile shoe to the bottom of respective pile cap)."
42,1.9.a,a) 300mm dia piles
43,1.9.b,b) 330mm dia piles
44,1.9.c,c) 375mm dia piles 
45,1.9.d,d) 400mm dia piles
46,1.9.e,e) 450mm dia piles
47,1.9.f,f) 500mm dia piles
48,1.9.1,"Providing Single Under Reamed Pile foundation of the following size to the required depth in RCC 1:2:4 ( One of cement two of sand and four of hard broken stone jelly) using 20mm Gauge Hard Broken Stone Jelly including cost of concrete, pouring augering, curing compacting and hire charges for tools and plants but excluding cost and fabrication of steel etc., all complete and as directed by the departmental officer.
b) Single Under Reamed Pile of 300mm dia"
49,1.9.1.2,"Providing Single Under Reamed Pile foundation of the following size to the required depth in RCC 1:11/2 :3 ( One of cement One and half of sand and three of hard broken stone jelly) using 20mm Gauge Hard Broken Stone Jelly including cost of concrete, pouring augering, curing compacting and hire charges for tools and plants but excluding cost and fabrication of steel etc., all complete and as directed by the departmental officer.
a.300mm dia and 6mtr depth"
50,1.9.2,"Providing Double Under Reamed Pile foundation of the following size to the required depth in RCC 1:2:4 ( One of cement two of sand and four of hard broken stone jelly) using 20mm Gauge Hard Broken Stone Jelly including cost of concrete, pouring augering, curing compacting and hire charges for tools and plants but excluding cost and fabrication of steel etc. all complete and as directed by the departmental officer.
b) Double Under Reamed Pile of 300mm dia"
51,1.9.3,"Providing Double Under Reamed Pile foundation of the following size to the required depth in RCC 1:2:4 ( One of cement One and half of sand and three of hard broken stone jelly) using 20mm Gauge Hard Broken Stone Jelly including cost of concrete, pouring augering, curing compacting and hire charges for tools and plants but excluding cost and fabrication of steel etc., all complete and as directed by the departmental officer.
b) Double Under Reamed Pile of 375mm dia"
52,1.9.3.1,"Bored cast in situ piles Installation of vertical cast in situ bored piles of following dia using design mix of grade M 30 concrete (using hard broken stone graded chips of size 20mm and less) by setting the bored cast in situ pile equipments with all acccessories  and tools at each of locations based on the sequence  of operations as directed by the Engineer-in-charge, boring for the piles from ground level in all soils to the required depth below cut off level to carry a safe working load not less than specified using transit bore mud circulation method (using bentenite clay of required density) inclusive  of pile driving accessories, temporary casing pipe, bentonite  solution of 10% of concrete with required specific density, mobilisation, transferring, installation of pile driving accessories from one location to another, removal of mud from site upto a distance of 5km as directed by the departmental officers, the cost of shoe and length of pile to be embedded in the pile cap but excluding cost of steel and fabrication of reinforcement  grills etc., complete complying with relevant standard specifications and as directed by the departmental officers. [The length of pile shall be measured from the top of shoe to the bottom of pile cap]."
53,1.9.3.1.a,a. 750mm dia
54,1.9.3.1.b,b. 600mm dia
55,1.9.3.1.c,c. 450mm dia
56,1.9.3.1.d,d. 400mm dia
57,1.9.3.1.e,e. 900mm dia
58,1.9.3.2,"Bored cast in situ piles Installation of vertical cast in situ bored piles of following dia using design mix of grade M 30 concrete(using hard broken stone graded chips of size 20mm and less) by setting the bored cast in situ pile equipments with all acccessories  and tools at each of locations based on the sequence  of operations as directed by the Engineer-in-charge, boring for the piles from ground level in all soils to the required depth below cut off level to carry a safe working load not less than specified using transit bore mud circulation method (using bentenite clay of required density) inclusive  of pile driving accessories, temporary casing pipe, bentonite  solution of 10% of concrete with required specific density, mobilisation, transferring, installation of pile driving accessories from one location to another removal of mud from site upto a distance of 5km as directed by the departmental officers the cost of shoe and length of pile to be embedded in the pile cap but excluding cost of steel and fabrication of reinforcement  grills etc., complete complying with relevant standard specifications and as directed by the departmental 
officers. [The length of  pile shall be measured from the top of shoe to the bottom of pile cap]."
59,1.9.3.2.a,500mm dia pile
60,1.9.3.3,"Bored cast in situ piles Installation of vertical cast in situ bored piles of following dia using design mix of grade M 30 concrete(using hard broken stone graded chips of size 20mm and less) by setting the bored cast in situ pile equipments with all acccessories  and tools at each of locations based on the sequence  of operations as directed by the Engineer-in-charge, boring for the piles from ground level in all soils to the required depth below cut off level to carry a safe working load not less than specified using transit bore mud circulation method (using bentenite clay of required density) inclusive  of pile driving accessories, temporary casing pipe, bentonite  solution of 10% of concrete with required specific density, mobilisation, transferring, installation of pile driving accessories from one location to another, removal of mud from site upto a distance of 3km as directed by the departmental officers, the cost of shoe and length of pile to be embedded in the pile cap but excluding cost of steel and fabrication of reinforcement  grills etc., complete complying with relevant standard specifications and as directed by the departmental officers. [The length of  pile shall be measured from the top of shoe to the bottom of pile cap]."
61,1.9.3.3.f,f) 450mm dia
62,1.9.3.4,"Bored cast in situ piles Installation of vertical cast in situ bored piles of following dia using design mix of grade M 30 concrete (using hard broken stone graded chips of size 20mm and less) by setting the bored cast in situ pile equipments with all acccessories and tools at each of locations based on the sequence of operations as directed by the Engineer-in-charge, boring for the piles from ground level in all soils to the required depth below cut off level to carry a safe working load not less than specified using transit bore mud circulation method (using bentenite clay of required density) inclusive  of pile driving accessories, temporary casing pipe, bentonite  solution of 10% of concrete with required specific density, mobilisation, transferring, installation of pile driving accessories from one location to another, removal of mud from site upto a distance of 1km as directed by the departmental officers, the cost of shoe and length of pile to be embedded in the pile cap but excluding cost of steel and fabrication of reinforcement  grills etc., complete complying with relevant standard specifications and as directed by the departmental officers. [The length of  pile shall be measured from the top of shoe to the bottom of pile cap].
"
63,1.9.3.4.a,400mm dia pile
64,1.9.3.5,"Bored cast in situ piles Installation of vertical cast in situ bored piles of following dia using Standardised Concrete Mix M-30 Grade concrete (using hard broken stone graded chips of size 20mm and less) by setting the bored cast in situ pile equipments with all acccessories and tools at each of locations based on the sequence of operations as directed by the Engineer-in-charge, boring for the piles from ground level in all soils to the required depth below cut off level to carry a safe working load not less than specified using transit bore mud circulation method (using bentenite clay of required density) inclusive  of pile driving accessories, temporary casing pipe, bentonite  solution of 10% of concrete with required specific density, mobilisation, transferring, installation of pile driving accessories from one location to another, removal of mud from site upto a distance of -5 km as directed by the departmental officers, the cost of shoe and length of pile to be embedded in the pile cap but excluding cost of steel and fabrication of reinforcement  grills etc., complete complying with relevant standard specifications and as directed by the departmental officers. [The length of  pile shall be measured from the top of shoe to the bottom of pile cap].
"
65,1.9.3.5.a,a. 600mm dia
66,1.9.3.5.b,b. 500mm dia
67,1.9.3.5.c,c. 450mm dia
68,1.9.3.5.d,d. 900mm dia
69,1.9.4,"Chipping of RCC pile head of following dia pile to the required cut off level and clearing away the debris from site with an average  lead of 5km etc., complete complying with relevant standard specifications and as directed by the departmental officers.
a. 400mm dia pile"
70,1.9.4.b,b. 600 dia
71,1.9.4.c,c.450 dia 
72,1.9.4.d,d.750 dia 
73,1.9.4.e,e.900 dia 
74,1.9.4.1,"Chipping of RCC pile head of following dia pile to the required cut off level and clearing away the debris from site with an average  lead of 1km etc., complete complying with relevant standard specifications and as directed by the departmental officers"
75,1.9.4.1.a,500mm dia pile
76,1.9.4.2,"Chipping of RCC pile head of following dia pile to the required cut off level and clearing away the debris from site with an average  lead of 3km etc., complete complying with relevant standard specifications and as directed by the departmental officers"
77,1.9.4.2.f,f) 450mm dia
78,1.9.5,"Mobilisation charges inclusive of transportation to site assembling and dismantling the rotary pile equipment employed for the works etc., complete complying with relevant standard specifications and as directed by the departmental officers."
79,1.9.6,"Conducting Routine vertical compression load test for bored cast in situ RCC piles of following dia by direct loading in accordance with IS 2911 ( part IV) 1985 excluding cost of pile and dismantling the same after testing, including finishing pile head and supplying and erection of all kentledge of suitable magnitude as specified, labour, excavation, back filling compaction etc., complete complying with relevant standard specifications and as directed by the departmental officers (150% of pile capacity) 
c.450mm dia pile"
80,1.9.7,"Providing Driving Casurina Piles in to sandy bed for the required depth below GL including cost of Casurina post piles of girth 13-15cm dia for a depth of 1.80m and to made the edges sharped , by using required weight hammer, mobilization of machineries, hire charges, for tools and equipements for providing driven the caurina post piles at site of work including assembling and installation of piles etc., all complete complying with relevant standard specifications and as directed by the departmental officers."
81,1.9.7.1,"Supplying and fixing of 1.20m dia Cement Rings of height 2.00m in foundation including jointing with cement mortar (1:4) to the required depth including cost of materials, labour charges and hire charges for tools and plants & machinaries etc., all complete complying with relevant standard specifications and as directed by the departmental officers (The Quality and brand shpuld be got approved from the EE before use)"
82,1.1,"Providing 200mm dia Augar pile to required depth in RCC 1:1 1/2:3 (one of cement, one and half of sand, three of hard broken jelly) using 20mm gauge HBG stone jelly excluding cost and fabrication of steel reinforcement  grills but including cost of concrete,pouring, Augering, curing, compacting, hire charges for tools and plants etc,   complete in all respects and as directed by the departmental officers "
83,1.11,"Providing 300mm dia Auger pile to 3m depth in RCC 1:2:4 (one of cement, two of sand, four of hard broken jelly) using 20mm gauge HBG stone jelly excluding cost and fabrication of steel reinforcement  grills but including cost of concrete, pouring, Augering, curing, compacting, hire charges for tools and plants etc, complete in all respects and as directed by the departmental officers                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                "
84,1.11,"Removal of surplus earth available in the site, clearing the earth away from the site including loading, conveyance charges etc all complete and as directed by the departmental officers"
85,1.12,"Supplying and filling in foundation and basement with gravel in layers of 150mm thickness well watered, rammed and consolidated complying  with relevant standard specification including cost of  gravel  etc., all complete and as directed by the departmental officers."
86,1.12,"Providing 300mm dia Auger pile to 2m depth, cost of labour charges including augering, compacting, hire charges for tools and plants etc, complete in all respects and as directed by the departmental officers.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                "
87,1.13,"Removal of surplus earth available in the site, clearing the earth away  10 Km from the site including  conveyance chargesloading, unloading,hire charges for lorry, diesel,charges and labour charges etc all complete and as directed by the departmental officers"
88,1.14,"Providing 300mm dia Auger pile to required depth in RCC 1:1 1/2:3 (one of cement, one and half of sand, three of hard broken jelly) using 20mm gauge HBG stone jelly excluding cost and fabrication of steel reinforcement  grills but including cost of concrete, pouring, Augering, curing, compacting, hire charges for tools and plants etc,   complete in all respects and as directed by the departmental officers "
89,1.14.1,"Providing 300mm dia Auger pile to required depth in standardised concrete mix M20 grade using 20mm gauge HBG stone jelly excluding cost and fabrication of steel reinforcement  grills but including cost of concrete, pouring, Augering, curing, compacting, hire charges for tools and plants etc,   complete in all respects and as directed by the departmental officers "
90,1.14.2,"Providing 300mm dia Auger pile to required depth in standardised concrete mix M25 grade using 20mm gauge HBG stone jelly excluding cost and fabrication of steel reinforcement  grills but including cost of concrete, pouring, Augering, curing, compacting, hire charges for tools and plants etc,   complete in all respects and as directed by the departmental officers "
91,1.14.3,"Providing 300mm dia Auger pile to required depth in standardised concrete mix M30 grade using 20mm gauge HBG stone jelly excluding cost and fabrication of steel reinforcement  grills but including cost of concrete, pouring, Augering, curing, compacting, hire charges for tools and plants etc,   complete in all respects and as directed by the departmental officers "
92,1.15,"Hire charges for engaging JCB for clearing and cutting of tree hurdles etc., complete in all respects and as directed by the departmental officers."
93,1.15.1,"Hire charges for engaging JCB for Shifting the existing damaged / Condemned Vehicles nearer to the site including hire charges, Fuel charges, driver charges etc., without damaging the vehicles to shown by the user department and as per the specifications as directed by the departmental officers."
94,1.2,"Providing 200mm dia Augar pile to required depth in RCC 1:1 1/2:3 (one of cement, one and half of sand, three of hard broken jelly) using 20mm gauge HBG stone jelly excluding cost and fabrication of steel reinforcement  grills but including cost of concrete,pouring, Augering, curing, compacting, hire charges for tools and plants etc,   complete in all respects and as directed by the departmental officers "
95,2.1,"Supplying and filling in foundation and basement with filling sand in layers of 150 mm thickness well watered, rammed and consolidated complying with relevant Standard specification including cost of supplying filling sand  etc,   complete in all respects and as directed by the departmental officers "
96,2.1.1,"Supplying and filling in foundation and basement with crushed stone sand in layers of 150 mm thickness well watered, rammed and consolidated complying with relevant Standard specification including cost of crushed stone sand etc., all complete and as directed by departmental officer."
97,2.2,"Providing Sand Gravel mix for foundation and basement in layers of 150mm thickness well watered, rammed and consolidated complying with relevant Standard specifications. The sand grave mix will be a proportion of 1:1 (i.e.) 0.70m3 of filling sand, 0.72m3 of gravel for every 1.00 m3 compacted volume of sand gravel mix including cost and conveyance of sand and gravel from approved quarrys to work site including labour charges for mixing sand and gravel in the required proportion and consistency using soft potable water including all leads for water, spreading the mix in layers consolidating the same as directed by the departmental officers."
98,2.3,"Supplying and filling with 40mm size broken brick jelly in foundation and basement and other similar works including cost of materials, labour charges, etc., all complete and as directed by the departmental officers."
99,2.4,"Supplying and filling with 20 mm size broken brick jelly in foundation and basement and other similar works including cost of materials, Labour charges etc., all complete and as directed by the departmental officer."
100,2.5,"Providing Gravel soling of 150mm tk. (consolidated thickness) including cost and conveyance of good gravel   of approved quality and stacking to departmental gauge for pre-measurement to the work spot, labour charges watering with soft  potable water and including cost and lead of water and consolidated by using power rollers at 8 to 10 tonne capacity including cost of tools and plants, fuel charges, labour charges etc., all complete and as directed by the departmental officers."
101,2.6,"Supplying and filling with 40mm size Hard broken stone jelly in foundation and basement and other similar works including cost of materials, labour charges, etc., all complete and as directedby the departmental officers."
102,2.7,"Supplying and filling with 20mm size Hard broken stone jelly in foundation and basement and other similar works including cost of materials, Labour charges etc., all complete and as directed by the departmental officers."
103,2.7.1,"Supplying and filling with 10mm size Hard broken stone jelly in foundation and basement and other similar works including cost of materials, labour charges etc., all complete and as directed by the departmental officers."
104,2.7.2,"Supplying and filling with 12mm size Hard broken stone jelly in foundation and basement and other similar works including cost of materials, labour charges etc., all complete and as directed by the departmental officers."
105,2.8,"Providing dry stone pitching for roads using selected stones including preparation of surface to the required slope, gradiant and compacted to a form and even surface and  Pitching of the stones to be done to the required depth, the interstices between adjacent stones shall be filled with stones of proper size, well driven with crow bars to ensure right packing and complete filling of all interstices etc and as  complete is directed by the  departmental officers."
106,2.9,"Supplying and filling with lime, river sand mix 1:1 (one of freshly slacked  and screened burnt lime stones and one of  river sand) for foundation, well watered, rammed and consolidated complying with relevant standard specification including cost at of lime, river sand and labour charges for mixing to the required proportioned filling in foundation etc., all complete as directed by the departmental officers."
107,2.11,"Providing Soling  using  Soling stone 15cm cube with 20% gravel, for blindage of  approved quality of 230 mm thick (consolidate thickness) including cost and conveyance of Soling stone, good gravel  and stacking to departmental gauge for pre-measurement, at the work spot,labour charges, watering with soft potable water and including cost and lead of water and consolidated by using power rollers at 8 to 10 ton capacity including cost of tools and plants,fuel charges, labour charges etc., all complete and as directed by the departmental officer."
108,2.12,"Supplying and filling in foundation and basement with Well Gravel in layers of 150mm thickness well watered, rammed and consolidated complying with relevent standard specification including cost of well gravel etc., all complete and as directed by departmental officer."
109,2.13,"Supply and filling in foundation and basement with gravel in layers of 150mm thickness well watered, rammed and consolidated complying with relevant standard specification including cost of gravel etc., all complete and as directed by departmental officer."
110,2.13.1,"Supply and filling in foundation and basement with gravel in layers of 380mm thickness well watered, rammed and consolidated complying with relevant standard specification including cost of gravel etc., all complete and as directed by departmental officer."
111,2.14,"Supply and filling in foundation and basement with Stone dust (sand and stone dust mixed in the ratio of 1:1) in layers of  not more than 10cm thick well watered, rammed and consolidated complying with relevant standard specification including cost of stone dust etc., all complete and as directed by departmental officer."
112,2.15,"Supply and filling in foundation and basement with Stone dust in layers of 150mm thickness well watered, rammed and consolidated complying with relevant standard specification including cost of stone dust etc., all complete and as directed by departmental officer."
113,2.15.1,"Supply and filling in foundation and basement with Stone dust   in layers of 150mm thickness well watered, rammed and consolidated complying with relevant standard specification including cost of stone dust etc., all complete and as directed by departmental officer."
114,2.15.2,"Supply and filling for laying of paver block with Stone dust  in layers of 150mm thickness well watered, rammed and consolidated complying with relevant standard specification including cost of stone dust etc., all complete and as directed by departmental officer."
115,2.16,"Supply and filling the low lying area for the proposed formation of approch road with gravel in layers of 150mm thickness well watered, rammed and consolidated complying with relevant standard specification including cost of gravel etc., all complete and as directed by departmental officer."
116,2.17,"Supplying and filling the trench with Quarry dust for cushion for a nominal depth, over the pipeline complying with relevant standard specification including cost of quarry dust etc., all complete and as directed by departmental officer."
117,2.18,"Supplying and filling in foundation and basement with quarry rubbish in layers of 150 mm thickness well watered, rammed and consolidated complying with relevant Standard specification including cost of supplying filling quarry rubbish etc., all complete and as directed by departmental officer."
118,2.18.1,"Supplying and filling the low lying area on face side of the building with quarry rubbish in layers of 150 mm thickness well watered, rammed and consolidated complying with relevant Standard specification including cost of quarry rubbish etc., all complete and as directed by departmental officer."
119,2.19,"Supply and filling the low lying area around the building with well gravel including conveyance, loading, unloading and consolidated complying with relevant standard specification including cost of well gravel etc., all complete and as directed by departmental officer."
120,3.1,"Plain cement concrete 1:5:10 (One of cement, five of sand and ten of hard broken stone Jelly) for foundation using 40 mm gauge hard broken stone jelly inclusive of shoring, strutting and bailing out water wherever necessary ramming, curing etc., complete in all respects complying with relevant standard specifications and as directed by the departmental officers."
121,3.1.1,Providing Weep holes with Honey comb Concrete 1:5:10 size of 300mmx300mmx450mm and placing in position including moulding and cost of materials complete complying with standard specifaction and as directed by the departmental officers.  
122,3.1.2,"Plain cement concrete 1:5:10 ( One of cement, five of sand  and ten of hard broken stone jelly ) for foundation below 1.50m depth from ground level using 40mm gauge hard broken stone jelly inclusive of shoring, strutting and bailing out water wherever necessary ramming, curing etc., complete in all respects complying with relevant standard specifications and as directed by the Departmental officers."
123,3.1.3,"Plain cement concrete 1:5:10 (One of cement, five of crushed stone sand and ten of hard broken stone Jelly) for foundation using 40 mm gauge hard broken stone jelly inclusive of shoring, strutting and bailing out water wherever necessary ramming, curing etc., complete in all respects complying with relevant standard specifications and as directed by the departmental officers."
124,3.2,"Plain cement concrete 1:2:4 (One of cement two of sand and four of Hard Broken Stone jelly) using 20mm gauge  hard broken stone jelly excluding  shuttering  and centering but including laying, curing  and finishing with relevant standard specifications in foundation and basement, and other similar works & as directed by the departmental officers."
125,3.2.3,"Plain cement concrete 1:2:4 (One of cement two of  crushed stone sand and four of Hard Broken Stone jelly) using 20mm gauge  hard broken stone jelly excluding  shuttering  and centering but including laying, curing  and finishing with relevant standard specifications in foundation and basement, and other similar works & as directed by the departmental officers."
126,3.3,"Plain cement concrete 1:8:16 (One of cement, eight of sand and sixteen of broken brick jelly) for foundation and other similar works using 20mm gauge broken Brick Jelly inclusive of shoring, strutting and bailing out water wherever necessary ramming, curing etc., complete in all respects complying with relevant standard specifications and as directed by the Departmental officers."
127,3.4,"Providing Water Bound Macadam Road 125 mm tk. in two layers and the Ist layer of 75 mm thick with 50 mm  size IRC metal with 25 mm thick gravel blindage and 2nd layer of Providing Water Bound Macadam Road 125 mm tk. in two layers and the Ist layer of 75 mm thick with 50 mm  thick with 40mm size IRC metal with 20mm thick gravel blindage including cost and conveyance of IRC metal and gravel of approved quality to work site, labour charges for spreading, and stacking to departmental gauge for pre-measurement, cost of soft potable water including lead  for water and consolidated by using power rollers of 8 to 10 tonne capacity for both layers, labour charges for watering both the layers for 20 days and regulating traffic, hire charges for tools and plants, fuel charges, labour charges etc., all complete and as directed by the departmental officers."
128,3.5,"Surface dressing over WBM with precoated chips using 2.70m3 of 12mm chips per 100m2 and 44.00 kg  of bitumen for 1.0m3 of chips for pre mixing and 100 kg of bitumen for tack coat per 100m2 and spreading river sand at the rate of 0.145m3 /100m2 including cost of metal, bitumen of grade 80/100, and rolling and consolidating by power roller 8 to 10 tonne capacity including  hire charges for tools  and plants, fuel charges, etc. all complete and as directed by the departmental officers. (The bitumen 80/100 grade should be got approved from the Executive Engineer before use.)"
129,3.6,"Providing Water Bound Macadam Road 125 mm tk. in two layers and the Ist layer of 75 mm thick with 63 mm to 75mm size IRC metal with 25 mm thick gravel blindage and 2nd layer of 50mm thick with 37.5mm to 26.5mm size IRC metal with 20mm thick gravel blindage including cost and conveyance of IRC metal and gravel of approved quality to work site, labour charges for spreading, and stacking to departmental gauge for pre-measurement, cost of soft potable water including lead  for water and consolidated by using power rollers of 8 to 10 tonne capacity for both layers, labour charges for watering both the layers for 20 days and regulating traffic, hire charges for tools and plants, fuel charges, labour charges etc., all complete and as directed by the departmental officers."
